Matchup,Open,Closing Range,Close Start Range,Close End Range,Movement,Event,Fight Date
Gilbert Yvel vs Junior Dos,Santos,-270 -305 ...,-270,...,+17.3%,UFC 108: Evans vs Silva,-305 Jan 2nd 2010
Gilbert Yvel vs Pedro Rizzo,-125,+130 ... +130,130,130,-20.1%,Fight Force: Ultimate Chaos,Jun 27th 2009
Gilbert Yvel vs Josh Barnett,-590,-515 ... -515,-515,-515,-1%,Affliction 2: Day Of Reckoning,Jan 24th 2009
Gilbert Yvel vs Josh Barnett,-590,-515 ... -515,-515,-515,-1%,Affliction 2: Day Of Reckoning,Jan 24th 2009
Jon Madsen vs Chase Gormley,220,+248 ... +250,248,250,+0.2%,Titan FC 33: Green vs. Holobaugh,Mar 20th 2015
Jon Madsen vs Mike Russow,205,+250 ... +250,250,250,-3.3%,UFC Fight Night 24: Nogueira vs. Davis,Mar 26th 2011
Jon Madsen vs Gilbert Yvel,175,+185 ... +185,185,185,0%,UFC 121: Lesnar vs. Velasquez,Oct 23rd 2010
Jon Madsen vs Karlos Vemola,-145,-145 ... -145,-145,-145,+4.4%,UFC 116: Lesnar vs. Carwin,Jul 3rd 2010
Jon Madsen vs Mostapha Al-Turk,240,+205 ... +205,205,205,+5.3%,UFC 112: Invincible,Apr 10th 2010
Jon Madsen vs Justin Wren,-400,-340 ... -340,-340,-340,-7.9%,UFC: The Ultimate Fighter 10 Finale,Dec 5th 2009
Mike Russow vs Shawn Jordan,150,+120 ... +125,120,125,+11.5%,UFC on FOX 6: Johnson vs. Dodson,Jan 26th 2013
Mike Russow vs Fabricio Werdum,-350,-475 ... -475,-475,-475,+30.7%,UFC 147: Silva vs. Franklin II,Jun 23rd 2012
Mike Russow vs Jon Olav,Einemo,+160 -105 ...,160,...,+24.4%,UFC on FOX 2,-105 Jan 28th 2012
Mike Russow vs Jon Madsen,-265,-300 ... -300,-300,-300,+12.9%,UFC Fight Night 24: Nogueira vs. Davis,Mar 26th 2011
Mike Russow vs Todd Duffee,-675,-275 ... -275,-275,-275,-50%,UFC 114: Jackson vs. Evans,May 29th 2010
Mike Russow vs Justin McCully,180,+250 ... +250,250,250,-6.3%,UFC 102: Couture vs Nogueira,Aug 29th 2009
Mike Russow vs Jason Guida,210,+280 ... +280,280,280,-7.9%,Adrenaline MMA 1,Jun 14th 2008
Shawn Jordan vs Josh Copeland,175,+170 ... +170,170,170,+3.9%,PFL 4: Palmer vs. Tuerxun,Jul 19th 2018
Shawn Jordan vs Blagoy Ivanov,-170,-150 ... -140,-150,-140,0%,WSOF 35: Ivanov vs. Jordan,Mar 18th 2017
Shawn Jordan vs Ashley Gooch,175,+250 ... +250,250,250,-5.6%,WSOF 33,Oct 7th 2016
Shawn Jordan vs Ruslan Magomedov,-140,-190 ... -190,-190,-190,+24.5%,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
Shawn Jordan vs Derrick Lewis,-125,-105 ... -103,-105,-103,-0.4%,UFC Fight Night 68: Henderson vs. Boetsch,Jun 6th 2015
Shawn Jordan vs Jared Cannonier,135,+165 ... +170,165,170,-2.6%,UFC 182: Jones vs. Cormier,Jan 3rd 2015
Shawn Jordan vs Jack May,150,+165 ... +185,165,185,-0.9%,UFC Fight Night 47: Bader vs. Saint Preux,Aug 16th 2014
Shawn Jordan vs Matt Mitrione,-140,-120 ... -115,-120,-115,+1.5%,UFC: The Ultimate Fighter China Finale,Mar 1st 2014
Shawn Jordan vs Gabriel Gonzaga,-105,+125 ... +135,125,135,-5.8%,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013
Shawn Jordan vs Pat Barry,-175,-125 ... +105,-125,105,-23.1%,UFC 161: Evans vs. Henderson,Jun 15th 2013
Shawn Jordan vs Mike Russow,-190,-145 ... -130,-145,-130,-12.1%,UFC on FOX 6: Johnson vs. Dodson,Jan 26th 2013
Shawn Jordan vs Cheick Kongo,-230,-125 ... -115,-125,-115,-31.7%,UFC 149: Faber vs. Barao,Jul 21st 2012
Shawn Jordan vs Oli Thompson,160,+200 ... +200,200,200,-5.9%,UFC on FX 2: Alves vs. Kampmann,Mar 2nd 2012
Shawn Jordan vs Lavar Johnson,-270,-320 ... -320,-320,-320,+8.3%,Strikeforce Challengers 19: Larkin vs. Rossborough,Sep 23rd 2011
Shawn Jordan vs Devin Cole,-255,-230 ... -230,-230,-230,-1.7%,Strikeforce Challengers 17: Voelker vs. Bowling II,Jul 22nd 2011
Josh Copeland vs Ben Rothwell vs Josh Copeland,120,-105 ... -105,-105,-105,, ,
Levi Costa vs Josh Copeland,145,+130 ... +162,130,162,-12.7%,Bare Knuckle Fighting Championship 31,
Philipe Lins vs Josh Copeland,185,+180 ... +190,180,190,-1.2%,PFL 11: The Championship,
Francimar Barroso vs Josh Copeland,175,+170 ... +170,170,170,0%,PFL 8: Playoffs,
Shawn Jordan vs Josh Copeland,-400,-300 ... -240,-300,-240,-1.9%,PFL 4: Palmer vs. Tuerxun,
Jack May vs Josh Copeland,250,+320 ... +335,320,335,+8.8%,PFL 1: Harrison vs. Tuerxun,
Blagoi Ivanov vs Josh Copeland,-405,-420 ... -390,-420,-390,+18.2%,WSOF 31: Ivanov vs. Copeland,
Mike Hayes vs Josh Copeland,170,+250 ... +280,250,280,0%,WSOF 29: Gaethje vs. Foster,
Jared Rosholt vs Josh Copeland,160,+210 ... +240,210,240,+26%,UFC 185: Pettis vs. dos Anjos,
Ruslan Magomedov vs Josh Copeland,-150,+100 ... +100,100,100,+20%,UFC Fight Night 57: Edgar vs. Swanson,
Jan Jorgensen,110,-140 ... -140,-140,-140,+16.7%,RFA 16: Copeland vs. Jorgenson,Jul 25th 2014
Mike Kyle vs Muhammed Dereese,-380,-300 ... -300,-300,-300,-5.9%,PFL 8: Playoffs,Oct 5th 2018
Mike Kyle vs Caio Alencar,115,-101 ... +100,-101,100,+10.3%,PFL 7: Rama vs. Abdallah,Aug 30th 2018
Mike Kyle vs Daniel Gallemore,-120,-130 ... -110,-130,-110,+4%,PFL: Fight Night,Nov 2nd 2017
Mike Kyle vs Clifford Starks,-150,-150 ... -150,-150,-150,+8.7%,WSOF 22: Palhares vs. Shields,Aug 1st 2015
Mike Kyle vs Anthony Johnson,-315,-450 ... -385,-450,-385,+25.2%,World Series of Fighting 8: Gaethje vs. Patishnock,Jan 18th 2014
Mike Kyle vs Andrei Arlovski,-125,-110 ... +100,-110,100,-2%,World Series Of Fighting 5: Arlovski vs. Kyle,Sep 14th 2013
Mike Kyle vs Travis Wiuff,215,+300 ... +340,300,340,-9.8%,Championship Fighting Alliance 11: Kyle vs. Wiuff II,May 24th 2013
Mike Kyle vs Gegard Mousasi,-420,-465 ... -450,-465,-450,+18.4%,Strikeforce: Marquardt vs. Saffiedine,Jan 12th 2013
Mike Kyle vs Rafael Cavalcante,-200,-165 ... -155,-165,-155,-10.2%,Strikeforce: Barnett vs. Cormier,May 19th 2012
Mike Kyle vs Marcos Rogerio,de,Lima +105 -115,Lima,-115,+10.8%,Strikeforce Grand Prix: Barnett vs. Kharitonov,... -115 Sep 10th 2011
Mike Kyle vs Antonio Silva,-390,-380 ... -380,-380,-380,+4.5%,Strikeforce: Henderson vs. Babalu,Dec 4th 2010
Mike Kyle vs Ron Humphrey,155,+175 ... +175,175,175,-4.4%,Strikeforce Challengers 9,Jul 23rd 2010
Mike Kyle vs Tony Lopez,-110,+130 ... +130,130,130,-12.8%,King Of The Cage: Honor,May 14th 2010
Mike Kyle vs Fabricio Werdum,-590,-550 ... -550,-550,-550,+1%,Strikeforce: Carano vs Cyborg,Aug 15th 2009
Mike Kyle vs Rafael Cavalcante,-390,-400 ... -400,-400,-400,+2.4%,Strikeforce: Shields vs Lawler,Jun 6th 2009
Caio Alencar vs Sergey Belostenniy vs Caio Alencar,155,+150 ... +170,150,170,, ,
Philipe Lins vs Caio Alencar,115,-101 ... +100,-101,100,+1.9%,PFL 8: Playoffs,
Mike Kyle vs Caio Alencar,170,-250 ... -205,-250,-205,-8%,PFL 7: Rama vs. Abdallah,
Kelvin Tiller vs Caio Alencar,225,+250 ... +250,250,250,-87.7%,PFL 1: Harrison vs. Tuerxun,
Blagoy Ivanov vs Caio Alencar,225,+230 ... +235,230,235,+7.1%,PFL: Fight Night,
Blagoy Ivanov vs Caio Alencar,225,+230 ... +235,230,235,+7.1%,PFL: Fight Night,
Blagoy Ivanov vs Alexandr Romanov,-125,-150 ... -133,-150,-133,+8.8%,UFC Fight Night: Strickland vs. Magomedov,Jul 1st 2023
Blagoy Ivanov vs Marcin Tybura,-185,-152 ... -135,-152,-135,-15.9%,UFC Fight Night: Lewis vs. Spivak,Feb 4th 2023
Blagoy Ivanov vs Marcos Rogerio,145,+120 ... +135,120,135,+4%,UFC 274: Oliveira vs. Gaethje,May 7th 2022
Blagoy Ivanov vs Derrick Lewis,-170,-118 ... -111,-118,-111,-18.3%,UFC 244: Masvidal vs. Diaz,Nov 2nd 2019
Blagoy Ivanov vs Tai Tuivasa,-165,-172 ... -160,-172,-160,+6.3%,UFC 238: Cejudo vs. Moraes,Jun 8th 2019
Blagoy Ivanov vs Ben Rothwell,-110,-128 ... -120,-128,-120,+12.8%,UFC on ESPN+ 4: Lewis vs. Dos Santos,Mar 9th 2019
Blagoy Ivanov vs Junior Dos,Santos,-120 -190 ...,-120,...,+30.8%,UFC Fight Night 133: Dos Santos vs. Ivanov,-190 Jul 14th 2018
Blagoy Ivanov vs Caio Alencar,225,+250 ... +250,250,250,-1.5%,PFL: Fight Night,Nov 2nd 2017
Blagoy Ivanov vs Shawn Jordan,130,+130 ... +130,130,130,+6%,WSOF 35: Ivanov vs. Jordan,Mar 18th 2017
Blagoy Ivanov vs Augusto Sakai,100,-130 ... -125,-130,-125,+16.8%,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
Junior Dos vs Yorgan de,Castro,+190 +350 ...,190,...,-18.1%,Eagle FC 47,+375 May 20th 2022
Junior Dos vs Ciryl Gane,-270,-455 ... -400,-455,-400,+22.7%,UFC 256: Figueiredo vs. Moreno,Dec 12th 2020
Junior Dos vs Jairzinho Rozenstruik,-140,-145 ... -139,-145,-139,-0.9%,UFC 252: Miocic vs. Cormier 3,Aug 15th 2020
Junior Dos vs Francis Ngannou,-230,-227 ... -205,-227,-205,+3.9%,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
Junior Dos vs Derrick Lewis,105,+180 ... +200,180,200,-17.6%,UFC on ESPN+ 4: Lewis vs. Dos Santos,Mar 9th 2019
Junior Dos vs Tai Tuivasa,-105,+127 ... +140,127,140,-6.1%,UFC Fight Night 142: Dos Santos vs. Tuivasa,Dec 1st 2018
Junior Dos vs Blagoy Ivanov,-120,+165 ... +165,165,165,-20.1%,UFC Fight Night 133: Dos Santos vs. Ivanov,Jul 14th 2018
Junior Dos vs Ben Rothwell,110,-115 ... -105,-115,-105,+12.7%,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
Junior Dos vs Alistair Overeem,185,+192 ... +195,192,195,+3.9%,UFC on FOX 17: Dos Anjos vs. Cerrone,Dec 19th 2015
Junior Dos vs Stipe Miocic,190,+355 ... +365,355,365,-11.3%,UFC on FOX 13: Dos Santos vs. Miocic,Dec 13th 2014
Junior Dos vs Curtis Blaydes,-185,-333 ... -280,-333,-280,+30%,UFC on ESPN+ 24: Blaydes vs. Dos Santos,Jan 25th 2020
Junior Dos vs Stipe Miocic,-245,-174 ... -165,-174,-165,-11.3%,UFC 211: Miocic vs. Dos Santos 2,May 13th 2017
Junior Dos vs Cain Velasquez,-180,-215 ... -200,-215,-200,+10.7%,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013
Junior Dos vs Mark Hunt,320,+350 ... +420,350,420,-0.1%,UFC 160: Velasquez vs. Silva II,May 25th 2013
Junior Dos vs Cain Velasquez,115,+175 ... +180,175,180,-16%,UFC 155: Dos Santos vs. Velasquez II,Dec 29th 2012
Junior Dos vs Frank Mir,380,+380 ... +420,380,420,+1.9%,UFC 146: Dos Santos vs. Mir,May 26th 2012
Junior Dos vs Cain Velasquez,-135,-125 ... -125,-125,-125,+4.7%,UFC On FOX 1: Velasquez vs. Dos Santos,Nov 12th 2011
Junior Dos vs Shane Carwin,160,+145 ... +145,145,145,+8%,UFC 131: Carwin vs. Dos Santos,Jun 11th 2011
Junior Dos vs Roy Nelson,250,+315 ... +315,315,315,-1.4%,UFC 117: Silva vs. Sonnen,Aug 7th 2010
Junior Dos vs Gabriel Gonzaga,225,+230 ... +230,230,230,+3.5%,UFC on Versus 1: Vera vs. Jones,Mar 21st 2010
Junior Dos vs Gilbert Yvel,210,+275 ... +275,275,275,-3.2%,UFC 108: Evans vs Silva,Jan 2nd 2010
Junior Dos vs Mirko Filipovic,-140,+145 ... +145,145,145,-27.6%,UFC 103: Franklin vs Belfort,Sep 19th 2009
Junior Dos vs Stefan Struve,205,+220 ... +220,220,220,-1.5%,UFC 95: Sanchez vs Stevenson,Feb 21st 2009
Junior Dos vs Fabricio Werdum,-1050,-600 ... -600,-600,-600,-27.3%,UFC 90: Silva vs Cote,Oct 25th 2008
Ciryl Gane vs Sergey Spivak,170,+140 ... +172,140,172,+0.8%,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
Ciryl Gane vs Jon Jones,140,-186 ... -143,-186,-143,+34.3%,UFC 285,Mar 4th 2023
Ciryl Gane vs Tai Tuivasa,250,+375 ... +425,375,425,-12.2%,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
Ciryl Gane vs Francis Ngannou,-190,+114 ... +135,114,135,-57.3%,UFC 270,Jan 22nd 2022
Ciryl Gane vs Derrick Lewis,275,+250 ... +275,250,275,-0.6%,UFC 265: Lewis vs. Gane,Aug 7th 2021
Ciryl Gane vs Alexander Volkov,115,+125 ... +140,125,140,-6.9%,UFC Fight Night 190: Gane vs. Volkov,Jun 26th 2021
Ciryl Gane vs Jairzinho Rozenstruik,250,+185 ... +200,185,200,+6.1%,UFC Fight Night 186: Rozenstruik vs. Gane,Feb 27th 2021
Ciryl Gane vs Junior Dos,Santos,+230 +305 ...,230,...,-10.7%,UFC 256: Figueiredo vs. Moreno,+350 Dec 12th 2020
Ciryl Gane vs Tanner Boser,220,+450 ... +470,450,470,-17.5%,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,Dec 21st 2019
Ciryl Gane vs Don'tale Mayes,250,+225 ... +265,225,265,+3.5%,UFC on ESPN+ 20: Maia vs. Askren,Oct 26th 2019
Ciryl Gane vs Raphael Pessoa,260,+350 ... +405,350,405,-4.6%,UFC on ESPN+ 14: Shevchenko vs. Carmouche 2,Aug 10th 2019
Jairzinho Rozenstruik vs Jailton Almeida,-310,-549 ... -500,-549,-500,+25.2%,UFC Fight Night: Smith vs Walker,May 13th 2023
Jairzinho Rozenstruik vs Chris Daukaus,140,+140 ... +155,140,155,-3.8%,UFC 282,Dec 10th 2022
Jairzinho Rozenstruik vs Chris Daukaus vs Jairzinho Rozenstruik,140,+130 ... +160,130,160,, ,
Alexander Volkov vs Jairzinho Rozenstruik vs Marcin Tybura,105,+105 ... +105,105,105,+0.4%,UFC Fight Night 211,Feb 26th 2022
Jairzinho Rozenstruik vs Curtis Blaydes,-240,-380 ... -300,-380,-300,+16.5%,UFC 266: Volkanovski vs. Ortega,Sep 25th 2021
Jairzinho Rozenstruik vs Augusto Sakai,-140,-105 ... +125,-105,125,-24.8%,UFC Fight Night 189: Rozenstruik vs. Sakai,Jun 5th 2021
Jairzinho Rozenstruik vs Ciryl Gane,-300,-250 ... -225,-250,-225,-18.2%,UFC Fight Night 186: Rozenstruik vs. Gane,Feb 27th 2021
Jairzinho Rozenstruik vs Junior Dos,Santos,+120 +110 ...,120,...,-0.3%,UFC 252: Miocic vs. Cormier 3,+125 Aug 15th 2020
Jairzinho Rozenstruik vs Francis Ngannou,-300,-255 ... -225,-255,-225,-15.9%,UFC 249: Ferguson vs. Gaethje,May 9th 2020
Jairzinho Rozenstruik vs Andrei Arlovski,130,+137 ... +140,137,140,+2.3%,UFC 244: Masvidal vs. Diaz,Nov 2nd 2019
Jairzinho Rozenstruik vs Allen Crowder,135,+190 ... +200,190,200,-10.7%,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
Jairzinho Rozenstruik vs Junior Albini,100,-146 ... -125,-146,-125,+21%,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
Jairzinho Rozenstruik vs Alistair Overeem,-135,+125 ... +130,125,130,-22.7%,UFC on ESPN 7: Overeem vs. Rozenstruik,Dec 7th 2019
Jairzinho Rozenstruik vs Alistair Overeem,-135,+125 ... +130,125,130,-22.7%,UFC on ESPN 7: Overeem vs. Rozenstruik,Dec 7th 2019
Allen Crowder vs Jairzinho Rozenstruik,-175,-250 ... -230,-250,-230,+20.9%,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
Allen Crowder vs Greg Hardy,-245,-556 ... -450,-556,-450,+42.9%,UFC on ESPN+ 1: Cejudo vs. Dillashaw,Jan 19th 2019
Allen Crowder vs Justin Willis,-210,-230 ... -230,-230,-230,+11.3%,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017
Allen Crowder vs Don'tale Mayes,-280,-275 ... -265,-275,-265,+9.1%,Dana White's Contender Series 8,Aug 29th 2017
Raphael Pessoa vs Adam Bogatyrev,-300,-250 ... -245,-250,-245,-16%,ACA 141,Jul 22nd 2022
Raphael Pessoa vs Adam Bogatyrev,-180,-180 ... -180,-180,-180,0%,ACA 140,Jun 17th 2022
Raphael Pessoa vs Daniel James,110,-155 ... -143,-155,-143,+21%,ACA 132,Nov 19th 2021
Raphael Pessoa vs Mukhomad Vakhaev,-450,-450 ... -350,-450,-350,-3.1%,ACA,Aug 28th 2021
Raphael Pessoa vs Tanner Boser,-210,-250 ... -228,-250,-228,+12.8%,UFC on ESPN 14: Whittaker vs. Till,Jul 25th 2020
Raphael Pessoa vs Jeff Hughes,-165,-250 ... -240,-250,-240,+25.7%,UFC on ESPN+ 20: Maia vs. Askren,Oct 26th 2019
Raphael Pessoa vs Ciryl Gane,-380,-520 ... -455,-520,-455,+24.5%,UFC on ESPN+ 14: Shevchenko vs. Carmouche 2,Aug 10th 2019
Raphael Pessoa vs Brian Heden,185,+225 ... +225,225,225,-2%,LFA 50: Allen vs. Hiley,Sep 21st 2018
Brian Heden vs Raphael Pessoa,-265,-285 ... -285,-285,-285,+12.3%,LFA 50: Allen vs. Hiley,Sep 21st 2018
Brian Heden vs Tyler East,-245,-265 ... -265,-265,-265,+3.5%,Legacy FC 60: Heden vs. East,Oct 7th 2016
Tyler East vs Brian Heden,175,+185 ... +185,185,185,-2.2%,Legacy FC 60: Heden vs. East,Oct 7th 2016
Mark Holata vs Alexander Volkov,-280,-470 ... -420,-470,-420,+36.6%,Bellator Fighting Championship 111: Dantas vs. Leone,Mar 7th 2014
Mark Holata vs Vinicius Kappke,de,Quieroz +150 +105,Quieroz,105,+13.6%,Bellator Fighting Championship 75,... +115 Oct 5th 2012
Mark Holata vs Ron Sparks,-195,-146 ... -146,-146,-146,-8.1%,Bellator Fighting Championship 52,Oct 1st 2011
Vinicius Kappke vs Mark Holata,-180,-125 ... -125,-125,-125,-19%,Bellator Fighting Championship 75,Oct 5th 2012
Vinicius Kappke vs Rob Broughton,135,+145 ... +145,145,145,0%,UFC 120: Bisping vs. Akiyama,Oct 16th 2010
Rob Broughton vs Phil de,Fries,-135 -155 ...,-135,...,+20.3%,UFC 138: Leben vs. Munoz,-155 Nov 5th 2011
Rob Broughton vs Travis Browne,-400,-420 ... -420,-420,-420,+20%,UFC 135: Jones vs. Rampage,Sep 24th 2011
Rob Broughton vs Vinicius Kappke,de,Quieroz -165 -165,Quieroz,-165,+4.1%,UFC 120: Bisping vs. Akiyama,... -165 Oct 16th 2010
Rob Broughton vs Jessie Gibbs,105,-110 ... -110,-110,-110,+5.1%,M-1 Global: Breakthrough,Aug 28th 2009
Rob Broughton vs Neil Grove,-115,-120 ... -120,-120,-120,+6.5%,Cage Rage 25: Bring It On,Mar 8th 2008
Jessie Gibbs vs Rob Broughton,-135,-120 ... -120,-120,-120,-7.4%,M-1 Global: Breakthrough,Aug 28th 2009
Neil Grove vs Thiago Santos,-135,-130 ... -130,-130,-130,+6.8%,Bellator Fighting Championship 56,Oct 29th 2011
Neil Grove vs Mike Hayes,175,+195 ... +195,195,195,+3.9%,Bellator Fighting Championship 52,Oct 1st 2011
Neil Grove vs Zak Jensen,350,+360 ... +360,360,360,+1%,Bellator Fighting Championship 47,Jul 23rd 2011
Neil Grove vs Cole Konrad,-355,-330 ... -330,-330,-330,-6.8%,Bellator Fighting Championship 32,Oct 14th 2010
Neil Grove vs Alexey Oleinik,140,+165 ... +165,165,165,-4.1%,Bellator Fighting Championship 29,Sep 16th 2010
Neil Grove vs Eddie Sanchez,-210,-165 ... -165,-165,-165,-6.1%,Bellator Fighting Championship 24,Aug 12th 2010
Neil Grove vs Mike Ciesnolevicz,-125,-105 ... -105,-105,-105,-8.5%,UFC 95: Sanchez vs Stevenson,Feb 21st 2009
Neil Grove vs Robert Berry,200,+200 ... +200,200,200,0%,Cage Rage 27: Step Up,Jul 12th 2008
Neil Grove vs Rob Broughton,-115,+100 ... +100,100,100,-2%,Cage Rage 25: Bring It On,Mar 8th 2008
James Mulheron vs Justin Willis,-190,-180 ... -140,-180,-140,-2.9%,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 16th 2017
Arunas Andriuskevicus vs Lee Chadwick,240,+190 ... +220,190,220,+4.7%,Bellator 270,Nov 5th 2021
Matteo Minonzio vs Matti MÃ¤kelÃ¤,-300,-245 ... -245,-245,-245,-16.4%,Superior Challenge 9,Nov 23rd 2013
Hector Ramirez vs Brandon Halsey,-260,-250 ... -245,-250,-245,+7.6%,Bellator Fighting Championship 106: Chandler vs. Alvarez II,Nov 2nd 2013
Rick Roufus vs Maurice Smith,-280,-330 ... -330,-330,-330,+13.5%,Strikeforce: Strikeforce At The Dome,Feb 23rd 2008
Maurice Smith vs Hidehiko Yoshida,200,-270 ... -270,-270,-270,+54.8%,WVR Sengoku: Third Battle,Jun 8th 2008
Maurice Smith vs Rick Roufus,220,+270 ... +270,270,270,-4.2%,Strikeforce: Strikeforce At The Dome,Feb 23rd 2008
Hidehiko Yoshida vs Satoshi Ishii,-280,-360 ... -360,-360,-360,+13.5%,FieLDS: Dynamite!! 2009,Dec 31st 2009
Hidehiko Yoshida vs Sanae Kikuta,280,+270 ... +270,270,270,+0.6%,WVR Sengoku: No Ran,Jan 4th 2009
Hidehiko Yoshida vs Maurice Smith,-250,+210 ... +210,210,210,-118.9%,WVR Sengoku: Third Battle,Jun 8th 2008
Hidehiko Yoshida vs Josh Barnett,-700,-700 ... -700,-700,-700,0%,WVR Sengoku: First Battle,Mar 5th 2008
Hidehiko Yoshida vs Josh Barnett,-700,-700 ... -700,-700,-700,0%,WVR Sengoku: First Battle,Mar 5th 2008
Kazuhiro Nakamura vs Gerald Harris,-210,-185 ... -185,-185,-185,-5.8%,DREAM 17: World Bantamweight GP,Sep 24th 2011
Kazuhiro Nakamura vs Karl Amoussou,-120,-115 ... -115,-115,-115,-2.1%,DREAM 15,Jul 10th 2010
Kazuhiro Nakamura vs Kazuo Misaki,-270,-240 ... -240,-240,-240,-10.7%,WVR Sengoku: Ninth Battle,Aug 2nd 2009
Kazuhiro Nakamura vs Yuki Sasaki,280,+275 ... +275,275,275,+2.2%,WVR Sengoku: Sixth Battle,Nov 1st 2008
Kazuhiro Nakamura vs Paul Cahoon vs Kazuhiro Nakamura,200,+200 ... +200,200,200,, ,
Rameau Sokoudjou vs Kazuhiro Nakamura,170,+175 ... +175,175,175,0%,UFC 84: Ill Will,
Lyoto Machida,-200,-210 ... -210,-210,-210,+1.8%,UFC 76: Knockout,Sep 22nd 2007
Kazuo Misaki vs Paul Daley,-325,-340 ... -340,-340,-340,+14.6%,Strikeforce: Tate vs. Rousey,Mar 3rd 2012
Kazuo Misaki vs Mike Seal,650,+700 ... +700,700,700,-0.8%,WVR Sengoku: Soul of Fight,Dec 30th 2010
Kazuo Misaki vs Jorge Santiago,-195,-130 ... -130,-130,-130,-23.8%,WVR Sengoku Raiden Championships 14,Aug 22nd 2010
Kazuo Misaki vs Melvin Manhoef,135,+115 ... +115,115,115,+4.9%,FieLDS: Dynamite!! 2009,Dec 31st 2009
Kazuo Misaki vs Kazuhiro Nakamura,210,+180 ... +180,180,180,+3.3%,WVR Sengoku: Ninth Battle,Aug 2nd 2009
Kazuo Misaki vs Jorge Santiago,-120,-120 ... -120,-120,-120,0%,WVR Sengoku: No Ran,Jan 4th 2009
Kazuo Misaki vs Joe Riggs,255,+300 ... +300,300,300,-4.1%,Strikeforce At The Mansion 2,Sep 20th 2008
Kazuo Misaki vs Logan Clark,260,+275 ... +275,275,275,-0.9%,WVR Sengoku: Third Battle,Jun 8th 2008
Kazuo Misaki vs Siyar Bahadurzada,190,+230 ... +230,230,230,-2.2%,WVR Sengoku: First Battle,Mar 5th 2008
Kazuo Misaki vs Yoshihiro Akiyama,-210,-250 ... -250,-250,-250,+11.3%,M-1 Global: Yarennoka!,Dec 30th 2007
Mike Seal vs Kazuo Misaki,-1175,-1300 ... -1300,-1300,-1300,+6.3%,WVR Sengoku: Soul of Fight,Dec 30th 2010
Mike Seal vs Kazuo Misaki,-1175,-1300 ... -1300,-1300,-1300,+6.3%,WVR Sengoku: Soul of Fight,Dec 30th 2010
Jonas Billstein vs Alexey Butorin,-265,-275 ... -275,-275,-275,+3.4%,ACB 71: Moscow,Sep 30th 2017
Jonas Billstein vs Grachik Bozinyan vs Jonas Billstein,155,-192 ... -190,-192,-190,, ,
Perry Filkins,-195,+165 ... +177,165,177,-67.4%,Bellator Fighting Championship 81,Nov 16th 2012
Alexey Butorin vs Jonas Billstein,185,+195 ... +195,195,195,-1%,ACB 71: Moscow,Sep 30th 2017
Alexey Butorin vs Leandro Ataides,-105,-110 ... -110,-110,-110,+1.6%,ONE Championship 31: Odyssey of Champions,Sep 27th 2015
Grachik Bozinyan vs Alexey Shurkevich,155,-120 ... +110,-120,110,+15.7%,Bellator 269,Oct 23rd 2021
Grachik Bozinyan vs Austin Vanderford,-565,-625 ... -485,-625,-485,+5.6%,Bellator 234: Kharitonov vs. Vassell,Nov 14th 2019
Grachik Bozinyan vs Jonas Billstein vs Grachik Bozinyan,-115,+105 ... +124,105,124,, ,
Grachik Bozinyan vs Jonas Billstein vs Grachik Bozinyan,-115,+105 ... +124,105,124,, ,
Cortez Coleman vs Chris Harris,-260,-190 ... -190,-190,-190,-12%,LFA 15: Odoms vs. Vanderaa,Jun 30th 2017
Cortez Coleman vs Rafael Lovato,-300,-300 ... -300,-300,-300,0%,Legacy FC 62: Lovato vs. Coleman,Nov 11th 2016
Chris Harris vs Joaquin Buckley,-175,-245 ... -245,-245,-245,+14.5%,LFA 76: Ogden vs. Browne,Sep 13th 2019
Chris Harris vs Daniel Madrid,-185,-230 ... -230,-230,-230,+9.3%,LFA 72: Madrid vs. Harris,Jul 26th 2019
Chris Harris vs Brendan Allen,125,+135 ... +135,135,135,-2.2%,LFA 18: Aguilar vs. Rader,Aug 4th 2017
Chris Harris vs Cortez Coleman,180,+150 ... +150,150,150,+9.3%,LFA 15: Odoms vs. Vanderaa,Jun 30th 2017
Daniel Madrid vs Johnny Eblen,-300,-455 ... -400,-455,-400,+17.5%,Bellator 258: Archuleta vs. Pettis,May 7th 2021
Daniel Madrid vs Chris Harris,145,+170 ... +170,170,170,-7.4%,LFA 72: Madrid vs. Harris,Jul 26th 2019
