,Fighter_ID,Fighter_Name,matches
259,aa8189053b3a8994,Kenneth Bergh ,
260,2891c9f7b26b26fc,Bret Bergmark The Angry Hick,
261,e3779ef06e98f185,Keith Berish Sha Bang Bang,
262,6f242453c91a5af0,Dennis Bermudez The Menace,
263,2dc1bc1a02961656,Manny Bermudez The Bermudez Triangle,Manny Bermudez
264,5b2325cd70dbe2ea,Talita Bernardo ,
265,b3bbe88fecd6a0d2,Dave Berry ,
266,0b935b9bbbe5fc07,Keith Berry ,
267,0db70ca89e1c7374,Dieusel Berto ,
268,66766984842c13dc,Edson Berto Little Tiger,
269,aebfb84d1f6d2d8c,Allen Berube Monstah Lobstah,
270,8ba8e8d7eafa7267,Anton Berzin The Body Snatcher,Anton Berzin
271,3f24c96753dbd9f9,Scott Bessac ,
272,0b8d512c79b4baf3,Matt Bessette The Mangler,Matt Bessette
273,e05f4ce199baca91,Khadzhi Bestaev Best,
274,a524710c3ef918fa,Fernando Bettega ,
275,7e511f8d842a109d,Arjan Bhullar ,
276,9cd047a828dd7515,KB Bhullar The Bengal,
277,87f19d19f4cb73f8,Bibulatov Magomed Chaborz,Magomed Bibulatov
278,1efa064872f089d0,David Bielkheden ,
279,b3b6e80b7d5f8f0d,Jeremiah Billington ,
280,53f02bbc41d99432,Scott Bills ,
281,c5a126ace82a6025,Anthony Birchak El Toro,Anthony Birchak
282,8a22c6b4d29880a3,Chris Birchler The Big Buck,
283,2b93ebd9f5417ad2,Michael Bisping The Count,
284,7a359ef685a304a7,Amaury Bitetti ,
285,27ab7257bf6a3b65,Simon Biyong ,
286,99df7d0a2a08a8a8,Jan Blachowicz ,Jan Blachowicz
287,b2f743746e8dcfa2,Jason Black The Black Legion,
288,7e69a4b0961aa555,Brad Blackburn Bad Brad,
289,619d807fa54ae8f7,Jason Blackford ,
290,2adb11835acd815b,Tom Blackledge ,
291,0e5c79b3594ff0ad,Sherrard Blackledge The Thriller,
292,4a1329cc8eb0928a,Maximo Blanco Maxi,
293,ebf298f8ac7e232b,David Blanco ,
294,fa6796c55d6c5440,Curtis Blaydes Razor,Curtis Blaydes
295,35d6337320a4ae48,Arlene Blencowe Angerfist,
296,ecdf14f4f8643d39,Byron Bloodworth ,
297,046a85108610c0d2,"Dashawn Boatwright Buck, the 400-pound Silverback",Dashawn Boatwright
298,f348d05403fad037,Dan Bobish ,
299,cf9d24e4bd0cf2ce,Mark Bocek ,
