Fighter_ID,Fight_ID,Fight_Name,Weight_Class,Opponent,Method,Round_End,Time_End,Fight_format,Referee,Details
2620f3eb21c79614,81b0c08f7503e79a,UFC 24: First Defense,Heavyweight Bout,Ian Freeman,Submission,1,3:09,      2 Rnd (5-5),Dan Severn,Heel Hook On Ground 
83b00f7597e5ac83,57961c6adebfb13d,UFC 247: Jones vs. Reyes,Heavyweight Bout,Justin Tafa,KO/TKO,1,1:59,      3 Rnd (5-5-5),Jeff Rexroad,Punch to Head In Clinch 
85073dbd1be65ed9,88b1d4f951070f83,UFC Fight Night: Dos Anjos vs. Edwards,Heavyweight Bout,Juan Adams,KO/TKO,1,0:45,      3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground 
7e511f8d842a109d,0bc354fbb6e99ab6,UFC Fight Night: Iaquinta vs. Cowboy,Heavyweight Bout,Juan Adams,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Yves Lavigne,Patrick Buckley 28 - 29.David Therien 28 - 29.Dave Tirelli 27 - 30.
e51ee8ded927fc51,c4f443509308dec6,UFC Fight Night: Lee vs. Iaquinta,Heavyweight Bout,Juan Adams,KO/TKO,3,0:58,      3 Rnd (5-5-5),Joe Fipp,Knee to Body In Clinch 
83b00f7597e5ac83,ce7013cf4b6ee053,DWCS 2.7,Heavyweight Bout,Shawn Teed,KO/TKO,1,4:17,      3 Rnd (5-5-5),Mark Smith,Punches to Head From Mount 
a77633a989013265,2b36807773190d38,DWCS 4.2,Middleweight Bout,Impa Kasanganay,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Mark Smith,27 - 29.27 - 29.27 - 29.
a77633a989013265,85d229f57a94da6c,DWCS 2.5,Middleweight Bout,Chibwikem Onyenegecha,Decision - Split,3,5:00,      3 Rnd (5-5-5),Herb Dean,Dave Hagen 28 - 29.Tony Weeks 29 - 28.Junichiro Kamijo 28 - 29.
6d68c1afe954f121,a679800d2e7c3be2,UFC Fight Night: Volkov vs. Rozenstruik,Flyweight Bout,Zarrukh Adashev,KO/TKO,1,1:01,      3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance 
20999e27ddd94bda,1978b44503c3d9ff,UFC Fight Night: Hall vs. Strickland,Flyweight Bout,Zarrukh Adashev,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Mark Smith,Eric Colon 27 - 30.Tony Weeks 27 - 30.Ron McCarthy 28 - 29.
3cf18e01cb6cbde3,ddbe6fd66d7f9e35,UFC Fight Night: Chiesa vs. Magny,Flyweight Bout,Zarrukh Adashev,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29.Sal D'amato 28 - 29.Clemens Werner 27 - 30.
6e00cfffd54653c4,dfbb110855354039,UFC Fight Night: Eye vs. Calvillo,Bantamweight Bout,Zarrukh Adashev,KO/TKO,1,0:32,      3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance 
